Main condition/term,Location options,All synonyms,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Additional synonyms,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term removed,Term updated,Synonyms updated,Autosuggestion updated,Classification updated,Current Notes
chronic bronchitis,,,,,,,,bronchitis,,,,,,,chronic bronchitis,,,,,,9012,Respiratory,6600,chronic bronchitis,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.0,,,,,,
chronic conjunctivitis (pink eye),,"chronic conjunctivitis |
pink eye",chronic conjunctivitis,pink eye,,,,conjunctivitis,,,,,,,chronic conjunctivitis (pink eye),,,,,,8974,Eye (Vision),6018,chronic conjunctivitis,DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,
chronic fatigue syndrome,,,,,,,,,,,,,,,chronic fatigue syndrome,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6354,chronic fatigue syndrome,DBQ RHEUM Chronic fatigue syndrome,no,Active,Active,v1.0,,,,,,
chronic kidney disease (CKD),,"chronic kidney disease |
CKD",chronic kidney disease,CKD,,,,chronic renal disease,,,,,,,chronic kidney disease (CKD),,,,,,8975,Genitourinary,7530,chronic renal disease,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,
chronic laryngitis,,,,,,,,,,,,,,,chronic laryngitis,,,,,,9012,Respiratory,6516,chronic laryngitis,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",no,Active,Active,v1.0,,,,,,
chronic myelogenous leukemia (CML),,"chronic myelogenous leukemia |
CML |
chronic myeloid leukemia |
chronic granulocytic leukemia",chronic myelogenous leukemia,CML,chronic myeloid leukemia,chronic granulocytic leukemia,,,,,,,,,chronic myelogenous leukemia (CML),,,,,,8939,Cancer - Hemic and Lymphatic,7719,chronic myelogenous leukemia (cml) (chronic myeloid leukemia or chronic granulocytic leukemia),"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",yes,Active,Active,v1.3,,,,,,
chronic nephritis (inflammation of kidneys),,"chronic nephritis |
inflammation of kidneys",chronic nephritis,inflammation of kidneys,,,,glomerulonephritis,nephritis,,,,,,chronic nephritis (inflammation of kidneys),,,,,,8975,Genitourinary,7502,chronic nephritis,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,
chronic obstructive pulmonary disease (COPD),,"chronic obstructive pulmonary disease |
COPD",chronic obstructive pulmonary disease,COPD,,,,chronic obstructive pulmonary disease,,,,,,,chronic obstructive pulmonary disease (COPD),,,,,,9012,Respiratory,6604,chronic obstructive pulmonary disease,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.0,,,,,,
chronic organic brain syndrome,,,,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
chronic otitis externa (swimmer's ear),"left, right, bilateral","chronic otitis externa |
swimmer's ear",chronic otitis externa,swimmer's ear,,,,,,,,,,,"chronic otitis externa (swimmer's ear), right","chronic otitis externa (swimmer's ear), left","chronic otitis externa (swimmer's ear), bilateral",,,,8969,Ear Disease and Other Sense Organs,6210,chronic otitis externa,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,,,,,
chronic otitis media (chronic middle ear infection),"left, right, bilateral","chronic otitis media |
chronic middle ear infection",chronic otitis media,chronic middle ear infection,,,,otitis media (middle ear infection),otitis media,,,,,,"chronic otitis media (chronic middle ear infection), right","chronic otitis media (middle ear infection), left","chronic otitis media (middle ear infection), bilateral",,,,3140,Hearing Loss,6201,chronic nonsuppurative otitis media,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,v1.2,,Replaced with chronic otitis media (chronic middle ear infection),Update to 8969 (Ear Disease and Other Sense Organs).,
chronic sinusitis,,,,,,,,sinusitis,,,,,,,chronic sinusitis,,,,,,9012,Respiratory,Multiple,Sinusitis DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,
chronic suppurative otitis media (CSOM) or mastoiditis,"left, right, bilateral","chronic suppurative otitis media |
CSOM |
mastoiditis",chronic suppurative otitis media,CSOM,mastoiditis,,,mastoiditis,,,,,,,"chronic suppurative otitis media (CSOM) or mastoiditis, right","chronic suppurative otitis media (CSOM) or mastoiditis, left","chronic suppurative otitis media (CSOM) or mastoiditis, bilateral",,,,8969,Ear Disease and Other Sense Organs,6200,chronic suppurative otitis media,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,,,,,
chronic urticaria (chronic hives),,"chronic urticaria |
chronic hives",chronic urticaria,chronic hives,,,,urticaria (hives),,,,,,,chronic urticaria (chronic hives),,,,,,9016,Skin,7825,urticaria,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,v1.1,,v1.1 updated to chronic,,
cirrhosis (scarring of liver),,"cirrhosis |
scarring of liver",cirrhosis,scarring of liver,,,,cirrhosis of liver,,,,,,,cirrhosis (scarring of liver),,,,,,8968,Digestive,7312,cirrhosis of the liver,DBQ GI Liver Conditions,no,Active,Active,v1.0,,,,,,
claw foot (pes cavus),"left, right, bilateral","claw foot |
pes cavus",claw foot,pes cavus,,,,,,,,,,,"claw foot (pes cavus), right","claw foot (pes cavus), left","claw foot (pes cavus), bilateral",,,,8994,Musculoskeletal - Foot,5278,"claw foot (pes cavus), acquired",DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
coccidiodomycosis,,,,,,,,,,,,,,,,,,,,,9012,Respiratory,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cold Injury Residuals,,,,,,,,,,,,,,,,,,,,,8943,Cold Injury Residuals,,,,,Inactive,Active,v0.1,v1.0,,,,,
colorectal cancer or colon cancer,,"colon cancer |
colorectal cancer",colon cancer,colorectal cancer,,,,cancer - colon,cancer - rectum,,,,,,colorectal cancer or colon cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Intestinal (other than surgical or infectious),yes,Active,Active,v1.0,,,,,,
Competency,,,,,,,,,,,,,,,,,,,,,8944,Competency,,,,,Inactive,Active,v0.1,v1.0,,,,,
complete loss of sense of smell (anosmia),,"complete loss of sense of smell |
anosmia",complete loss of sense of smell,anosmia,,,,"smell, loss of sense of",,,,,,,complete loss of sense of smell (anosmia),,,,,,8969,Ear Disease and Other Sense Organs,6275,complete loss of sense of smell,DBQ ENT Loss of Sense of Smell and or Taste,no,Active,Active,v1.0,,,,,,
complete loss of sense of taste (ageusia),,"complete loss of sense of taste |
ageusia",complete loss of sense of taste,ageusia,,,,"taste, loss of sense of",,,,,,,complete loss of sense of taste (ageusia),,,,,,8969,Ear Disease and Other Sense Organs,6276,complete loss of sense of taste,DBQ ENT Loss of Sense of Smell and or Taste,no,Active,Active,v1.0,,,,,,
congestive heart failure (CHF),,"congestive heart failure |
CHF",congestive heart failure,CHF,,,,CHF,congestive heart failure,,,,,,congestive heart failure (CHF),,,,,,8979,Heart/Veins/Arteries,7005,arteriosclerotic heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
constrictive bronchiolitis (obliterative bronchiolitis),,"constrictive bronchiolitis |
obliterative bronchiolitis",constrictive bronchiolitis,obliterative bronchiolitis,,,,,,,,,,,constrictive bronchiolitis (obliterative bronchiolitis),,,,,,9012,Respiratory,Multiple,Bronchiolitis Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,
conversion disorder (FNSD),,"functional neurological symptom disorder |
FNSDl |
conversion disorder",functional neurological symptom disorder,FNSDl,conversion disorder,,,,,,,,,,conversion disorder (FNSD),,,,,,8989,Mental Disorders,9424,Conversion disorder (functional neurological symptom disorder).,DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
cor pulmonale,,,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
corneal opacities,,,,,,,,,,,,,,,,,,,,,8974,Eye (Vision),,,,,Inactive,Active,v0.1,v1.0,,,,,
coronary artery disease (CAD or arteriosclerotic heart disease),,"coronary artery disease |
CAD |
arteriosclerotic heart disease",coronary artery disease,CAD,arteriosclerotic heart disease,,,arteriosclerosis,arteriosclerosis obliterans,arteriosclerotic heart disease,atherosclerosis,coronary artery disease,CAD,ASHD,coronary artery disease (CAD or arteriosclerotic heart disease),,,,,,8979,Heart/Veins/Arteries,7005,arteriosclerotic heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
costochondritis,,,,,,,,,,,,,,,costochondritis,,,,,,249482,Musculoskeletal - Bones,5297,removal of rib(s),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,,Contention Text Lookup v0.5,
Cranial nerve paralysis or cranial neuritis (inflammation of cranial nerves),,"Cranial nerve paralysis |
cranial neuritis |
Cranial nerve paralysis or cranial neuritis |
inflammation of cranial nerves",Cranial nerve paralysis,cranial neuritis,Cranial nerve paralysis or cranial neuritis,inflammation of cranial nerves,,,,,,,,,Cranial nerve paralysis or cranial neuritis (inflammation of cranial nerves),,,,,,9006,Neurological - Cranial/Peripheral Nerves,Multiple,Cranial Nerves DC Group,DBQ NEURO Cranial Nerve Conditions,no,Active,Active,v1.0,,,,,,
cranial neuralgia (cranial nerve pain),,"cranial neuralgia |
cranial nerve pain",cranial neuralgia,cranial nerve pain,,,,,,,,,,,cranial neuralgia (cranial nerve pain),,,,,,9006,Neurological - Cranial/Peripheral Nerves,Multiple,Cranial Nerves DC Group,DBQ NEURO Cranial Nerve Conditions,no,Active,Active,v1.0,,,,,,
Crohn's disease,,,,,,,,,,,,,,,Crohn's disease,,,,,,8968,Digestive,7326,Crohn's disease,DBQ GI Intestinal (other than surgical or infectious),no,Active,Active,v1.0,,,,,,
Cushing's syndrome,,,,,,,,,,,,,,,,,,,,,8973,Endocrine,,,,,Inactive,Active,v0.1,v1.0,,,,,
cyclothymic disorder (mild bipolar disorder),,"cyclothymic disorder |
mild bipolar disorder",cyclothymic disorder,mild bipolar disorder,,,,,,,,,,,cyclothymic disorder (mild bipolar disorder),,,,,,8989,Mental Disorders,9431,cyclothymic disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,
Cyst/Benign Growth - Dental and Oral,,,,,,,,,,,,,,,,,,,,,8945,Cyst/Benign Growth - Dental and Oral,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Digestive,,,,,,,,,,,,,,,,,,,,,8946,Cyst/Benign Growth - Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Ear Disease and Other Sense Organs,,,,,,,,,,,,,,,,,,,,,8947,Cyst/Benign Growth - Ear Disease and Other Sense Organs,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Endocrine,,,,,,,,,,,,,,,,,,,,,8948,Cyst/Benign Growth - Endocrine,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Eye (Vision),,,,,,,,,,,,,,,,,,,,,8949,Cyst/Benign Growth - Eye (Vision),,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Genitourinary,,,,,,,,,,,,,,,,,,,,,8950,Cyst/Benign Growth - Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Gynecological,,,,,,,,,,,,,,,,,,,,,8951,Cyst/Benign Growth - Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,,,,,249479,Cyst/Benign Growth - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Hemic and Lymphatic,,,,,,,,,,,,,,,,,,,,,249480,Cyst/Benign Growth - Hemic and Lymphatic,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Ankle,,,,,,,,,,,,,,,,,,,,,8952,Cyst/Benign Growth - Musculoskeletal - Ankle,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Elbow,,,,,,,,,,,,,,,,,,,,,8953,Cyst/Benign Growth - Musculoskeletal - Elbow,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Foot,,,,,,,,,,,,,,,,,,,,,8954,Cyst/Benign Growth - Musculoskeletal - Foot,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Hand,,,,,,,,,,,,,,,,,,,,,8955,Cyst/Benign Growth - Musculoskeletal - Hand,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Hip,,,,,,,,,,,,,,,,,,,,,8956,Cyst/Benign Growth - Musculoskeletal - Hip,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Knee,,,,,,,,,,,,,,,,,,,,,8957,Cyst/Benign Growth - Musculoskeletal - Knee,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,,,,,,,,,,,,,,,,,8958,Cyst/Benign Growth - Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,,,,,,,,,,,,,,,,,8959,Cyst/Benign Growth - Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Other,,,,,,,,,,,,,,,,,,,,,8960,Cyst/Benign Growth - Musculoskeletal - Other,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Shoulder,,,,,,,,,,,,,,,,,,,,,8961,Cyst/Benign Growth - Musculoskeletal - Shoulder,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal - Wrist,,,,,,,,,,,,,,,,,,,,,8962,Cyst/Benign Growth - Musculoskeletal - Wrist,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Musculoskeletal and Muscle Injuries,,,,,,,,,,,,,,,,,,,,,8963,Cyst/Benign Growth - Musculoskeletal and Muscle Injuries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Neurological other System,,,,,,,,,,,,,,,,,,,,,8964,Cyst/Benign Growth - Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Respiratory,,,,,,,,,,,,,,,,,,,,,8965,Cyst/Benign Growth - Respiratory,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cyst/Benign Growth - Skin,,,,,,,,,,,,,,,,,,,,,8966,Cyst/Benign Growth - Skin,,,,,Inactive,Active,v0.1,v1.0,,,,,
cystitis,,,,,,,,,,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
De Quervain's tenosynovitis (De Quervain's syndrome),"left, right, bilateral","De Quervain's tenosynovitis |
De Quervain's syndrome",De Quervain's tenosynovitis,De Quervain's syndrome,,,,,,,,,,,"De Quervain's tenosynovitis (De Quervain's syndrome), right","De Quervain's tenosynovitis (De Quervain's syndrome), left","De Quervain's tenosynovitis (De Quervain's syndrome), bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
decompression illness,,,,,,,,Caisson disease,Caisson,,,,,,decompression illness,,,,,,8930,Caisson,5011,decompression illness,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,
deep vein thrombosis (DVT) in leg,"left, right, bilateral","deep vein thrombosis in leg |
DVT in leg",deep vein thrombosis in leg,DVT in leg,,,,,,,,,,,"deep vein thrombosis (DVT) in leg, right","deep vein thrombosis (DVT) in leg, left","deep vein thrombosis (DVT) in leg, bilateral",,,,8987,Leg Condition - Heart/Veins/Arteries,7121,post-phlebitic syndrome,DBQ CARDIO Artery & Veins,no,Active,Active,v1.0,,,,,,
degenerative arthritis (osteoarthritis) in ankle,"left, right, bilateral","degenerative arthritis in ankle |
osteoarthritis in ankle",degenerative arthritis in ankle,osteoarthritis in ankle,,,,,,,,,,,"degenerative arthritis (osteoarthritis) in ankle, right","degenerative arthritis (osteoarthritis) in ankle, left","degenerative arthritis (osteoarthritis) in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,
degenerative arthritis (osteoarthritis) in elbow,"left, right, bilateral","degenerative arthritis in elbow |
osteoarthritis in elbow",degenerative arthritis in elbow,osteoarthritis in elbow,,,,,,,,,,,"degenerative arthritis (osteoarthritis) in elbow, right","degenerative arthritis (osteoarthritis) in elbow, left","degenerative arthritis (osteoarthritis) in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,
degenerative arthritis (osteoarthritis) in foot,"left, right, bilateral","degenerative arthritis in foot |
osteoarthritis in foot",degenerative arthritis in foot,osteoarthritis in foot,,,,,,,,,,,"degenerative arthritis (osteoarthritis) in foot, right","degenerative arthritis (osteoarthritis) in foot, left","degenerative arthritis (osteoarthritis) in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
degenerative arthritis (osteoarthritis) in hand or fingers,"left, right, bilateral","degenerative arthritis in hand |
osteoarthritis in hand |
degenerative arthritis in fingers |
osteoarthritis in fingers",degenerative arthritis in hand,osteoarthritis in hand,degenerative arthritis in fingers,osteoarthritis in fingers,,,,,,,,,"degenerative arthritis (osteoarthritis) in hand or fingers, right","degenerative arthritis (osteoarthritis) in hand or fingers, left","degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
degenerative arthritis (osteoarthritis) in hip,"left, right, bilateral","degenerative arthritis in hip |
osteoarthritis in hip",degenerative arthritis in hip,osteoarthritis in hip,,,,,,,,,,,"degenerative arthritis (osteoarthritis) in hip, right","degenerative arthritis (osteoarthritis) in hip, left","degenerative arthritis (osteoarthritis) in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,
degenerative arthritis (osteoarthritis) in knee,"left, right, bilateral","degenerative arthritis in knee |
osteoarthritis in knee",degenerative arthritis in knee,osteoarthritis in knee,,,,degenerative arthritis in knee,osteoarthritis in knee,,,,,,"degenerative arthritis (osteoarthritis) in knee, right","degenerative arthritis (osteoarthritis) in knee, left","degenerative arthritis (osteoarthritis) in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
degenerative arthritis (osteoarthritis) in shoulder,"left, right, bilateral","degenerative arthritis in shoulder |
osteoarthritis in shoulder",degenerative arthritis in shoulder,osteoarthritis in shoulder,,,,,,,,,,,"degenerative arthritis (osteoarthritis) in shoulder, right","degenerative arthritis (osteoarthritis) in shoulder, left","degenerative arthritis (osteoarthritis) in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
degenerative arthritis (osteoarthritis) in wrist,"left, right, bilateral","degenerative arthritis in wrist |
osteoarthritis in wrist",degenerative arthritis in wrist,osteoarthritis in wrist,,,,,,,,,,,"degenerative arthritis (osteoarthritis) in wrist, right","degenerative arthritis (osteoarthritis) in wrist, left","degenerative arthritis (osteoarthritis) in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
delirium,,,,,,,,,,,,,,,delirium,,,,,,8989,Mental Disorders,9300,Delirium,DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
delusional disorder,,,,,,,,,,,,,,,delusional disorder,,,,,,8989,Mental Disorders,9208,delusional disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
dementia,,,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
dental abscesses,,,,,,,,"gums, sore",,,,,,,,,,,,,8967,Dental and Oral,,,,,Inactive,Active,v0.1,v1.0,,,,,
Dental and Oral,,,,,,,,jaw condition,tooth condition,,,,,,,,,,,,8967,Dental and Oral,,,,,Inactive,Active,v0.1,v1.0,,,,,
Dental and Oral - Musculoskeletal,,,,,,,,,,,,,,,,,,,,,249481,Dental and Oral - Musculoskeletal,,,,,Inactive,Active,v0.1,v1.0,,,,,
depersonalization-derealization disorder (DPDR),,"depersonalization-derealization disorder |
DPDR",depersonalization-derealization disorder,DPDR,,,,,,,,,,,,,,,,,8989,Mental Disorders,9417,Depersonalization/derealization disorder.,DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
depression (major depressive disorder),,"depression |
major depressive disorder |
unspecified depressive disorder",depression,major depressive disorder,unspecified depressive disorder,,,depression,depressive neurosis,dysthymic disorder,major depression,,,,depression (major depressive disorder),,,,,,8989,Mental Disorders,9434,major depressive disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,v1.2,,,
deviated septum,,,,,,,,,,,,,,,deviated septum,,,,,,9012,Respiratory,6502,deviated septum,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",no,Active,Active,v1.0,,,,,,
diabetes insipidus,,,,,,,,,,,,,,,diabetes insipidus,,,,,,8973,Endocrine,7909,diabetes insipidus,"DBQ ENDO Endocrine (Other than Thyroid, Parathyroid or Diabetes Mellitus)",no,Active,Active,v1.0,,,,,,
"diabetes, type 1 or type 2",,"diabetes |
diabetes type 1 |
diabetes type 2",diabetes,diabetes type 1,diabetes type 2,,,diabetes,diabetes mellitus,,,,,,"diabetes, type 1 or type 2",,,,,,8973,Endocrine,7913,diabetes mellitus,DBQ ENDO Diabetes mellitus,no,Active,Active,v1.0,,,,,,
diabetic nephropathy (diabetic kidney disease),,"diabetic nephropathy |
diabetic kidney disease",diabetic nephropathy,diabetic kidney disease,,,,,,,,,,,diabetic nephropathy (diabetic kidney disease),,,,,,8975,Genitourinary,7541,renal involvement with systemic disease process,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,
diabetic peripheral neuropathy,"right lower extremities, right upper extremities, left lower extremities, left upper extremities, bilateral lower extremities, bilateral upper extremities",,,,,,,,,,,,,,"diabetic peripheral neuropathy, right lower extremities","diabetic peripheral neuropathy, right upper extremities","diabetic peripheral neuropathy, left lower extremities","diabetic peripheral neuropathy, left upper extremities","diabetic peripheral neuropathy, bilateral lower extremities","diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,Multiple,Peripheral Nerves DC Group,DBQ NEURO Diabetic Peripheral Neuropathy,no,Active,Active,v1.0,,,,,,
diabetic retinopathy,,,,,,,,,,,,,,,diabetic retinopathy,,,,,,8974,Eye (Vision),6040,diabetic retinopathy,DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,
Digestive,,,,,,,,esophageal condition,gastrointestinal problems,bowel condition,liver condition,non-specific digestive complaints,stomach condition,,,,,,,,8968,Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
dissociative amnesia,,,,,,,,,,,,,,,Dissociative amnesia,,,,,,8989,Mental Disorders,9416,Dissociative amnesia; dissociative identity disorder.,DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
dissociative identity disorder,,,,,,,,,,,,,,,dissociative identity disorder,,,,,,8989,Mental Disorders,9416,Dissociative amnesia; dissociative identity disorder.,DBQ PSYCH Mental Disorders,no,Active,Active,v1.3,,,,,,
diverticulitis or diverticulosis,,"diverticulitis |
diverticulosis |
diverticular disease",,,,,,,,,,,,,diverticulitis or diverticulosis,,,,,,8968,Digestive,8968,Diverticulitis and diverticulosis,DBQ GI Intestinal (other than surgical or infectious),no,Active,Active,v0.1,v1.0,v1.3,,,,v1.3 Term edited and reactivated
dracontiasis,,,,,,,,dracunculiasis,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
dry eye syndrome,,dry eyes,,,,,,,,,,,,,dry eye syndrome,,,,,,8974,Eye (Vision),6025,disorders of the lacrimal apparatus,DBQ OPHTH Eyes,no,Active,Active,v1.0,,,v1.3,,,"v1.3 added synonym ""dry eyes"""
Dupuytren's contracture (abnormal thickening of tissues in palm of hand),"left, right, bilateral","Dupuytren's contracture |
abnormal thickening of tissues in palm of hand",Dupuytren's contracture,abnormal thickening of tissues in palm of hand,,,,,,,,,,,"Dupuytren's contracture (abnormal thickening of tissues in palm of hand), right","Dupuytren's contracture (abnormal thickening of tissues in palm of hand), left","Dupuytren's contracture (abnormal thickening of tissues in palm of hand), bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
dysentery,,,,,,,,,,,,,,,,,,,,,8968,Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
"dysphagia (difficulty swallowing), associated with neurological disorder",,"dysphagia associated with neurological disorder |
difficulty swallowing associated with neurological disorder",dysphagia associated with neurological disorder,difficulty swallowing associated with neurological disorder,,,,,,,,,,,"dysphagia (difficulty swallowing), associated with neurological disorder",,,,,,9007,Neurological other System,8210,paralysis of the 10th cranial nerve,DBQ NEURO Cranial Nerve Conditions,no,Active,Active,v1.0,,,,,,
"dysphagia (difficulty swallowing), not associated with neurological disorder",,"dysphagia, not associated with neurological disorder |
difficulty swallowing, not associated with neurological disorder","dysphagia, not associated with neurological disorder","difficulty swallowing, not associated with neurological disorder",,,,,,,,,,,"dysphagia (difficulty swallowing), not associated with neurological disorder",,,,,,8968,Digestive,7203,stricture of esophagus,DBQ GI Esophageal Disorders,no,Active,Active,v1.0,,,,,,
ear cancer,,,,,,,,Cancer - Ear Disease and Other Sense Organs,,,,,,,ear cancer,,,,,,249468,Cancer - Ear Disease and Other Sense Organs,6208,malignant neoplasm of ear,DBQ ENT Ear (Including Vestibular and Infectious),yes,Active,Active,v1.1,,,,,,
Ear Disease and Other Sense Organs,,,,,,,,ear infection,non-specific ear condition,,,,,,,,,,,,8969,Ear Disease and Other Sense Organs,,,,,Inactive,Active,v0.1,v1.0,,,,,
Eating Disorders,,,,,,,,eating disorder,,,,,,,,,,,,,8970,Eating Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
eczema (atopic dermatitis),,"eczema |
atopic dermatitis",eczema,atopic dermatitis,,,,,,,,,,,eczema (atopic dermatitis),,,,,,9016,Skin,7806,eczema,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
